,group_id,title,year,cnt,fraction
9815,A01D,HARVESTING; MOWING ,1991,476,0.11652044493185022
10673,A01D,HARVESTING; MOWING ,1992,396,0.09155857668030797
11334,A01D,HARVESTING; MOWING ,1993,373,0.08367956782756177
12131,A01D,HARVESTING; MOWING ,1994,388,0.08030216795157034
12467,A01D,HARVESTING; MOWING ,1995,407,0.08305749537775856
12993,A01D,HARVESTING; MOWING ,1996,380,0.06849364451077514
13907,A01D,HARVESTING; MOWING ,1997,287,0.046524747274979086
14322,A01D,HARVESTING; MOWING ,1998,462,0.05825874448622597
15160,A01D,HARVESTING; MOWING ,1999,491,0.0601790172558123
15446,A01D,HARVESTING; MOWING ,2000,526,0.06228699859558212
16403,A01D,HARVESTING; MOWING ,2001,449,0.04847508607296742
17269,A01D,HARVESTING; MOWING ,2002,493,0.05171341328457797
17577,A01D,HARVESTING; MOWING ,2003,485,0.04859354256944618
18073,A01D,HARVESTING; MOWING ,2004,461,0.04749350698855108
19032,A01D,HARVESTING; MOWING ,2005,450,0.05209786526102767
19350,A01D,HARVESTING; MOWING ,2006,391,0.03748488860468974
20248,A01D,HARVESTING; MOWING ,2007,308,0.03222057283575563
20980,A01D,HARVESTING; MOWING ,2008,397,0.0425140928327879
21254,A01D,HARVESTING; MOWING ,2009,417,0.0417335537772369
22166,A01D,HARVESTING; MOWING ,2010,497,0.03681347862188706
22827,A01D,HARVESTING; MOWING ,2011,526,0.03689185426455106
23275,A01D,HARVESTING; MOWING ,2012,501,0.031830420733357644
24003,A01D,HARVESTING; MOWING ,2013,500,0.02798557063977813
24997,A01D,HARVESTING; MOWING ,2014,668,0.03213345968645825
25232,A01D,HARVESTING; MOWING ,2015,767,0.03355619547118236
26099,A01D,HARVESTING; MOWING ,2016,973,0.03950107663777228
26908,A01D,HARVESTING; MOWING ,2017,767,0.05364097751065301
561,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1976,120,0.04721453893035462
752,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1977,105,0.046503800024802026
1812,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1978,102,0.041917176590489734
2248,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1979,133,0.07526072465326308
3158,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1980,123,0.05554878131393191
3687,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1981,153,0.06329192469501979
4099,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1982,102,0.04729447767422451
4814,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1983,116,0.05410750601712783
5747,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1984,133,0.05378366028137346
6253,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1985,143,0.05305275967099869
6803,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1986,122,0.04628224582701062
7120,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1987,153,0.048675424001119856
7748,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1988,127,0.041417185196780545
8442,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1989,93,0.024205512610291247
9256,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1990,125,0.033537149771544934
10012,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1991,110,0.02692699357668808
10383,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1992,111,0.02566414649372269
11204,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1993,122,0.027369724597754785
12028,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1994,106,0.021938221141408393
12753,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1995,153,0.031223087942990314
12987,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1996,106,0.0191061218898478
13606,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1997,68,0.01102328506863616
14400,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1998,146,0.01841077206707574
14818,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,1999,137,0.016791294020460867
15789,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2000,144,0.017051953988144155
16199,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2001,97,0.010472345989037506
17224,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2002,146,0.015314722798272583
17738,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2003,142,0.014227387721363624
18142,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2004,143,0.014732259217706734
19011,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2005,123,0.014240083171347563
19477,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2006,142,0.01361343780528374
20454,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2007,119,0.012448857686541947
20934,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2008,144,0.015420728886452033
21182,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2009,98,0.009807885539974139
22154,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2010,108,0.007999709640168617
22718,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2011,129,0.00904762205347355
23506,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2012,132,0.008386458157291835
24286,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2013,144,0.008059844344256101
24662,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2014,167,0.008033364921614562
25630,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2015,252,0.011024982084404113
26214,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2016,314,0.012747521134902875
26567,A01F,PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ,2017,176,0.012308751032431462
624,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1976,336,0.13220070900499295
1132,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1977,321,0.14216876007582332
1365,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1978,377,0.15492917230014341
2313,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1979,275,0.15561428029810037
3015,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1980,304,0.13729129690597805
3784,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1981,275,0.11375999536686564
4174,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1982,256,0.11869986553530858
4745,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1983,197,0.0918894714256395
5354,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1984,165,0.06672408982275656
5861,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1985,193,0.07160267563987935
6409,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1986,257,0.09749620637329287
7658,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1987,286,0.0909880474792175
7680,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1988,300,0.09783587054357609
8579,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1989,286,0.07443845813487415
9441,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1990,329,0.08826977819870627
10172,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1991,319,0.07808828137239543
10303,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1992,354,0.08184781854754804
11435,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1993,323,0.07246246758258029
11741,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1994,339,0.07016091478242872
12459,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1995,339,0.0691805674030962
12843,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1996,392,0.07065660170585224
13563,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1997,415,0.06727446034535303
14597,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1998,432,0.054475709129977526
14988,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING ",1999,400,0.04902567597214851
